ID,ID_episode,X,Y,VelX,VelY,Angle,AngularVel,ActionID,ResX,ResY,ResVelX,ResVelY,ResAngle,ResAngularVel,TotalReward
133,1,0.35,0.76,0.88,-0.95,-0.13,0.14,3,0.36,0.74,0.89,-0.98,-0.12,0.11,-98.26837204210962
134,1,0.36,0.74,0.89,-0.98,-0.12,0.11,3,0.37,0.71,0.9,-1.01,-0.12,0.07,-98.26837204210962
135,1,0.37,0.71,0.9,-1.01,-0.12,0.07,0,0.38,0.69,0.9,-1.03,-0.12,0.07,-98.26837204210962
136,1,0.38,0.69,0.9,-1.03,-0.12,0.07,3,0.39,0.67,0.91,-1.06,-0.12,0.03,-98.26837204210962
137,1,0.39,0.67,0.91,-1.06,-0.12,0.03,2,0.4,0.64,0.9,-1.06,-0.12,0.02,-98.26837204210962
138,1,0.4,0.64,0.9,-1.06,-0.12,0.02,2,0.41,0.62,0.91,-1.03,-0.11,0.02,-98.26837204210962
139,1,0.41,0.62,0.91,-1.03,-0.11,0.02,3,0.41,0.6,0.93,-1.06,-0.12,-0.03,-98.26837204210962
140,1,0.41,0.6,0.93,-1.06,-0.12,-0.03,0,0.42,0.57,0.93,-1.09,-0.12,-0.03,-98.26837204210962
141,1,0.42,0.57,0.93,-1.09,-0.12,-0.03,1,0.43,0.55,0.91,-1.11,-0.12,0.02,-98.26837204210962
142,1,0.43,0.55,0.91,-1.11,-0.12,0.02,3,0.44,0.52,0.92,-1.14,-0.12,-0.02,-98.26837204210962
143,1,0.44,0.52,0.92,-1.14,-0.12,-0.02,0,0.45,0.5,0.92,-1.17,-0.12,-0.02,-98.26837204210962
144,1,0.45,0.5,0.92,-1.17,-0.12,-0.02,3,0.46,0.47,0.93,-1.19,-0.12,-0.05,-98.26837204210962
145,1,0.46,0.47,0.93,-1.19,-0.12,-0.05,3,0.47,0.44,0.94,-1.22,-0.12,-0.09,-98.26837204210962
146,1,0.47,0.44,0.94,-1.22,-0.12,-0.09,0,0.48,0.41,0.94,-1.25,-0.13,-0.09,-98.26837204210962
147,1,0.48,0.41,0.94,-1.25,-0.13,-0.09,1,0.49,0.38,0.93,-1.27,-0.13,-0.05,-98.26837204210962
148,1,0.49,0.38,0.93,-1.27,-0.13,-0.05,3,0.5,0.35,0.94,-1.3,-0.14,-0.09,-98.26837204210962
149,1,0.5,0.35,0.94,-1.3,-0.14,-0.09,1,0.51,0.33,0.93,-1.33,-0.14,-0.04,-98.26837204210962
150,1,0.51,0.33,0.93,-1.33,-0.14,-0.04,3,0.52,0.29,0.94,-1.35,-0.14,-0.09,-98.26837204210962
151,1,0.52,0.29,0.94,-1.35,-0.14,-0.09,1,0.53,0.26,0.93,-1.38,-0.15,-0.05,-98.26837204210962
152,1,0.53,0.26,0.93,-1.38,-0.15,-0.05,2,0.54,0.23,0.92,-1.38,-0.15,-0.06,-98.26837204210962
153,1,0.54,0.23,0.92,-1.38,-0.15,-0.06,3,0.54,0.2,0.93,-1.41,-0.15,-0.11,-98.26837204210962
154,1,0.54,0.2,0.93,-1.41,-0.15,-0.11,0,0.55,0.17,0.93,-1.44,-0.16,-0.11,-98.26837204210962
155,1,0.55,0.17,0.93,-1.44,-0.16,-0.11,2,0.56,0.14,0.95,-1.41,-0.16,-0.11,-98.26837204210962
156,1,0.56,0.14,0.95,-1.41,-0.16,-0.11,2,0.57,0.11,0.91,-1.32,-0.15,0.22,-98.26837204210962
157,1,0.57,0.11,0.91,-1.32,-0.15,0.22,1,0.58,0.08,0.8,-0.78,-0.03,5.0,-98.26837204210962
158,2,0.0,1.42,0.06,0.45,-0.0,-0.01,0,0.0,1.43,0.06,0.43,-0.0,-0.01,-119.20442844050713
159,2,0.0,1.43,0.06,0.43,-0.0,-0.01,2,0.0,1.44,0.08,0.44,-0.0,-0.0,-119.20442844050713
160,2,0.0,1.44,0.08,0.44,-0.0,-0.0,2,0.0,1.45,0.09,0.45,-0.0,0.01,-119.20442844050713
161,2,0.0,1.45,0.09,0.45,-0.0,0.01,1,0.0,1.46,0.09,0.42,0.0,0.05,-119.20442844050713
162,2,0.0,1.46,0.09,0.42,0.0,0.05,3,0.0,1.47,0.1,0.39,0.0,0.01,-119.20442844050713
163,2,0.0,1.47,0.1,0.39,0.0,0.01,0,0.01,1.48,0.1,0.37,0.0,0.01,-119.20442844050713
164,2,0.01,1.48,0.1,0.37,0.0,0.01,0,0.01,1.48,0.1,0.34,0.0,0.01,-119.20442844050713
165,2,0.01,1.48,0.1,0.34,0.0,0.01,3,0.01,1.49,0.11,0.31,0.0,-0.04,-119.20442844050713
166,2,0.01,1.49,0.11,0.31,0.0,-0.04,0,0.01,1.5,0.11,0.29,-0.0,-0.04,-119.20442844050713
167,2,0.01,1.5,0.11,0.29,-0.0,-0.04,3,0.01,1.5,0.12,0.26,-0.01,-0.08,-119.20442844050713
168,2,0.01,1.5,0.12,0.26,-0.01,-0.08,0,0.01,1.51,0.12,0.23,-0.01,-0.08,-119.20442844050713
169,2,0.01,1.51,0.12,0.23,-0.01,-0.08,2,0.01,1.52,0.12,0.25,-0.01,-0.08,-119.20442844050713
170,2,0.01,1.52,0.12,0.25,-0.01,-0.08,3,0.01,1.52,0.13,0.23,-0.02,-0.12,-119.20442844050713
171,2,0.01,1.52,0.13,0.23,-0.02,-0.12,0,0.01,1.52,0.13,0.2,-0.03,-0.12,-119.20442844050713
172,2,0.01,1.52,0.13,0.2,-0.03,-0.12,3,0.02,1.53,0.14,0.17,-0.03,-0.16,-119.20442844050713
173,2,0.02,1.53,0.14,0.17,-0.03,-0.16,1,0.02,1.53,0.13,0.15,-0.04,-0.12,-119.20442844050713
174,2,0.02,1.53,0.13,0.15,-0.04,-0.12,2,0.02,1.54,0.14,0.17,-0.05,-0.11,-119.20442844050713
175,2,0.02,1.54,0.14,0.17,-0.05,-0.11,2,0.02,1.54,0.14,0.18,-0.05,-0.12,-119.20442844050713
176,2,0.02,1.54,0.14,0.18,-0.05,-0.12,1,0.02,1.54,0.13,0.15,-0.06,-0.08,-119.20442844050713
177,2,0.02,1.54,0.13,0.15,-0.06,-0.08,2,0.02,1.55,0.12,0.19,-0.06,-0.09,-119.20442844050713
178,2,0.02,1.55,0.12,0.19,-0.06,-0.09,1,0.02,1.55,0.11,0.16,-0.06,-0.05,-119.20442844050713
179,2,0.02,1.55,0.11,0.16,-0.06,-0.05,1,0.02,1.55,0.1,0.14,-0.06,-0.0,-119.20442844050713
180,2,0.02,1.55,0.1,0.14,-0.06,-0.0,2,0.03,1.56,0.11,0.17,-0.06,-0.0,-119.20442844050713
181,2,0.03,1.56,0.11,0.17,-0.06,-0.0,3,0.03,1.56,0.11,0.15,-0.06,-0.04,-119.20442844050713
182,2,0.03,1.56,0.11,0.15,-0.06,-0.04,0,0.03,1.56,0.11,0.12,-0.07,-0.04,-119.20442844050713
183,2,0.03,1.56,0.11,0.12,-0.07,-0.04,0,0.03,1.57,0.11,0.09,-0.07,-0.04,-119.20442844050713
